judul,pengarang,klasifikasi,status,genre_utama,subgenre,genre,content,image_url
Akibat-Akibat Fatal Meremehkan Shalat Taubat,Rizem Aizid,297.412.29,Penyiangan 2025-2,agama,umum,agama umum,akibatakibat fatal meremehkan shalat taubat rizem aizid agama umum,/images/no_cover.png
Panduan Senam Stroke,Soeparman,613.7,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan senam stroke soeparman teknologi umum,/images/panduan_senam_stroke.png
Biografi Ummul Mukminin Aisyah,Shadiq Ahmad Abdurrahman Barir,297.9131,Penyiangan 2025-2,agama,umum,agama umum,biografi ummul mukminin aisyah shadiq ahmad abdurrahman barir agama umum,/images/no_cover.png
110 Tokoh Dengan Ide Gila Yang Mendunia,"Ihsan Fauzi, S.Si",1,Penyiangan 2025-2,umum,umum,umum umum, tokoh dengan ide gila yang mendunia ihsan fauzi ssi umum umum,/images/no_cover.png
Accidentally Engaged,Mary Carter,FIK,Penyiangan 2025-2,umum,umum,umum umum,accidentally engaged mary carter umum umum,/images/accidentally_engaged.jpg
Ekspresi Lisan,Purwadi,819.501,Penyiangan 2025-2,sastra,umum,sastra umum,ekspresi lisan purwadi sastra umum,/images/no_cover.png
ULAR Makhluk Meliuk Yaang Menarik,Rina Novia,FIK,Penyiangan 2025-2,umum,umum,umum umum,ular makhluk meliuk yaang menarik rina novia umum umum,/images/no_cover.png
I'm Jasmine,Lia Adriansyah,FIK,Penyiangan 2025-2,umum,umum,umum umum,im jasmine lia adriansyah umum umum,/images/no_cover.png
Rahasia 5 Shalat Sunnah Terdashyat,Saiful Hadi El-Sutha,297.412.2,Penyiangan 2025-2,agama,umum,agama umum,rahasia  shalat sunnah terdashyat saiful hadi elsutha agama umum,/images/no_cover.png
H2 Buku 32,"Mitsuru, Adachi",FIK,Penyiangan 2025-2,umum,umum,umum umum,h buku  mitsuru adachi umum umum,/images/no_cover.png
unlucky loser,erry santy,fik,Penyiangan 2025-2,umum,umum,umum umum,unlucky loser erry santy umum umum,/images/no_cover.png
UNTA Si Kapal Padang Pasir,Melvi Dwi Dezka Putri,FIK,Penyiangan 2025-2,umum,umum,umum umum,unta si kapal padang pasir melvi dwi dezka putri umum umum,/images/unta_si_kapal_padang_pasir.png
Orang Sibuk Pun Bisa Hafal Al-quran,Abdul Muhsin,297.17,Penyiangan 2025-2,agama,umum,agama umum,orang sibuk pun bisa hafal alquran abdul muhsin agama umum,/images/no_cover.png
Sikat Habis Soal-Soal Tes CPNS,Moh. Mahtub,1,Penyiangan 2025-2,umum,umum,umum umum,sikat habis soalsoal tes cpns moh mahtub umum umum,/images/no_cover.png
Orang Sibuk Pun Bisa Hafal Al-quran,Abdul Muhsin,297.17,Penyiangan 2025-2,agama,umum,agama umum,orang sibuk pun bisa hafal alquran abdul muhsin agama umum,/images/no_cover.png
Sikat Habis Soal-Soal Tes CPNS,Moh. Mahtub,1,Penyiangan 2025-2,umum,umum,umum umum,sikat habis soalsoal tes cpns moh mahtub umum umum,/images/no_cover.png
